seq,latency_ms
1784321663,3277
1784321664,6970
1784321665,6966
1784321666,6951
1784321667,7175
1784321668,6953
1784321669,6955
1784321670,6944
1784321671,7175
1784321672,6946
1784321673,6953
1784321674,6951
1784321675,6943
1784321676,7171
1784321677,6947
1784321678,6941
1784321679,6943
1784321680,7177
1784321681,6942
1784321682,6943
1784321683,6950
1784321684,7168
1784321685,6954
1784321686,6954
1784321687,6943
1784321688,7187
1784321689,6943
1784321690,6936
1784321691,6909
1784321692,7194
