time,monitor,status,msg,duration_s,note
2026-07-31 19:02:43.567,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-08-01 12:47:18.133,pve1,1,200 - OK,63,scheduled_power_cycle
2026-08-01 12:48:25.377,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-08-01 14:00:49.932,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-08-01 14:02:42.142,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-08-02 12:47:01.813,pve1,1,200 - OK,63,scheduled_power_cycle
2026-08-02 12:49:15.525,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-08-02 14:00:41.137,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-08-02 14:02:35.325,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-08-03 05:02:03.701,pve1,1,200 - OK,63,scheduled_power_cycle
2026-08-03 05:04:14.152,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-08-03 19:00:47.164,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-08-03 19:02:44.458,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-08-04 05:02:26.679,pve1,1,200 - OK,63,scheduled_power_cycle
2026-08-04 05:03:34.626,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-08-04 19:00:47.916,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-08-04 19:02:44.549,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-08-04 20:59:03.120,NVR Shinobi (Lalëz),2,No heartbeat in the time window,0,pending_not_down
2026-08-04 21:02:03.199,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,real_incident
2026-08-05 05:02:26.036,pve1,1,200 - OK,63,scheduled_power_cycle
2026-08-05 05:03:35.452,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-08-05 13:34:44.509,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,repeat_no_state_change
2026-08-05 19:00:48.777,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-08-05 19:02:45.504,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-08-06 05:02:27.509,pve1,1,200 - OK,63,scheduled_power_cycle
2026-08-06 05:03:36.100,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-08-06 13:34:40.498,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,repeat_no_state_change
2026-08-06 18:54:44.963,NVR Shinobi (Lalëz),1,1 kamera OK,0,real_incident
2026-08-06 19:00:45.522,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-08-06 19:02:42.134,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-08-06 20:09:03.059,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,real_incident
2026-08-06 20:41:01.868,NVR Shinobi (Lalëz),1,1 kamera OK,56,real_incident
2026-08-06 20:47:03.137,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,real_incident
2026-08-07 05:02:23.094,pve1,1,200 - OK,63,scheduled_power_cycle
2026-08-07 05:03:32.642,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-08-07 05:14:01.822,NVR Shinobi (Lalëz),1,1 kamera OK,48,real_incident
