time,host,worker_type,status,worker_id
2026-07-01 13:04:21,pbs,backup,OK,backup-store:vm/105
2026-07-01 13:08:40,pbs,prune,OK,backup-store::vm/105
2026-07-01 13:08:41,pbs,backup,OK,backup-store:ct/106
2026-07-01 13:08:53,pbs,prune,OK,backup-store::ct/106
2026-07-01 13:30:08,pbs,backup,OK,backup-store:ct/107
2026-07-01 13:30:29,pbs,prune,OK,backup-store::ct/107
2026-07-01 13:30:37,pbs,backup,OK,backup-store:ct/108
2026-07-01 13:30:53,pbs,prune,OK,backup-store::ct/108
2026-07-01 22:00:00,pbs,logrotate,OK,
2026-07-01 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-02 13:00:01,pbs,backup,OK,backup-store:vm/100
2026-07-02 13:02:01,pbs,backup,OK,backup-store:ct/101
2026-07-02 13:02:33,pbs,prune,OK,backup-store::ct/101
2026-07-02 13:02:41,pbs,backup,OK,backup-store:ct/102
2026-07-02 13:03:38,pbs,prune,OK,backup-store::ct/102
2026-07-02 13:03:38,pbs,prune,OK,backup-store::vm/100
2026-07-02 13:03:40,pbs,backup,OK,backup-store:ct/103
2026-07-02 13:04:06,pbs,prune,OK,backup-store::ct/103
2026-07-02 13:04:08,pbs,backup,OK,backup-store:ct/104
2026-07-02 13:05:34,pbs,prune,OK,backup-store::ct/104
2026-07-02 13:05:36,pbs,backup,OK,backup-store:vm/105
2026-07-02 13:12:46,pbs,prune,OK,backup-store::vm/105
2026-07-02 13:12:47,pbs,backup,OK,backup-store:ct/106
2026-07-02 13:13:09,pbs,prune,OK,backup-store::ct/106
2026-07-02 13:30:09,pbs,backup,OK,backup-store:ct/107
2026-07-02 13:30:30,pbs,prune,OK,backup-store::ct/107
2026-07-02 13:30:38,pbs,backup,OK,backup-store:ct/108
2026-07-02 13:30:55,pbs,prune,OK,backup-store::ct/108
2026-07-02 13:38:42,pbs,aptupdate,OK,
2026-07-02 22:00:00,pbs,logrotate,OK,
2026-07-02 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-03 00:24:25,pbs,aptupdate,OK,
2026-07-03 13:30:09,pbs,backup,OK,backup-store:ct/107
2026-07-03 13:30:30,pbs,prune,OK,backup-store::ct/107
2026-07-03 13:30:37,pbs,backup,OK,backup-store:ct/108
2026-07-03 13:30:54,pbs,prune,OK,backup-store::ct/108
2026-07-03 22:00:00,pbs,logrotate,OK,
2026-07-04 01:59:25,pbs,aptupdate,OK,
2026-07-04 13:00:14,pbs,backup,OK,backup-store:vm/100
2026-07-04 13:02:00,pbs,backup,OK,backup-store:ct/101
2026-07-04 13:02:38,pbs,prune,OK,backup-store::ct/101
2026-07-04 13:02:46,pbs,backup,OK,backup-store:ct/102
2026-07-04 13:03:39,pbs,prune,OK,backup-store::ct/102
2026-07-04 13:03:41,pbs,backup,OK,backup-store:ct/103
2026-07-04 13:04:10,pbs,prune,OK,backup-store::ct/103
2026-07-04 13:04:12,pbs,backup,OK,backup-store:ct/104
2026-07-04 13:05:45,pbs,prune,OK,backup-store::ct/104
2026-07-04 13:05:47,pbs,backup,OK,backup-store:vm/105
2026-07-04 13:30:10,pbs,backup,OK,backup-store:ct/107
2026-07-04 13:30:23,pbs,prune,OK,backup-store::ct/107
2026-07-04 13:30:31,pbs,backup,OK,backup-store:ct/108
2026-07-04 13:30:43,pbs,prune,OK,backup-store::ct/108
2026-07-04 13:40:17,pbs,prune,OK,backup-store::vm/100
2026-07-04 13:47:17,pbs,prune,OK,backup-store::vm/105
2026-07-04 13:47:18,pbs,backup,OK,backup-store:ct/106
2026-07-04 13:47:38,pbs,prune,OK,backup-store::ct/106
2026-07-04 22:00:00,pbs,logrotate,OK,
2026-07-04 23:02:25,pbs,aptupdate,OK,
2026-07-05 13:00:11,pbs,backup,OK,backup-store:vm/100
2026-07-05 13:00:21,pbs,prune,OK,backup-store::vm/100
2026-07-05 13:01:43,pbs,backup,OK,backup-store:ct/101
2026-07-05 13:02:41,pbs,prune,OK,backup-store::ct/101
2026-07-05 13:02:48,pbs,backup,OK,backup-store:ct/102
2026-07-05 13:03:41,pbs,prune,OK,backup-store::ct/102
2026-07-05 13:03:44,pbs,backup,OK,backup-store:ct/103
2026-07-05 13:04:09,pbs,prune,OK,backup-store::ct/103
2026-07-05 13:04:11,pbs,backup,OK,backup-store:ct/104
2026-07-05 13:05:38,pbs,prune,OK,backup-store::ct/104
2026-07-05 13:05:40,pbs,backup,OK,backup-store:vm/105
2026-07-05 13:05:54,pbs,prune,OK,backup-store::vm/105
2026-07-05 13:05:55,pbs,backup,OK,backup-store:ct/106
2026-07-05 13:06:17,pbs,prune,OK,backup-store::ct/106
2026-07-05 13:30:08,pbs,backup,OK,backup-store:ct/107
2026-07-05 13:30:19,pbs,prune,OK,backup-store::ct/107
2026-07-05 13:30:27,pbs,backup,OK,backup-store:ct/108
2026-07-05 13:30:37,pbs,prune,OK,backup-store::ct/108
2026-07-05 22:00:00,pbs,logrotate,OK,
2026-07-05 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-06 01:08:09,pbs,aptupdate,OK,
2026-07-06 13:00:08,pbs,backup,OK,backup-store:vm/100
2026-07-06 13:00:14,pbs,prune,OK,backup-store::vm/100
2026-07-06 13:01:31,pbs,backup,OK,backup-store:ct/101
2026-07-06 13:02:29,pbs,prune,OK,backup-store::ct/101
2026-07-06 13:02:36,pbs,backup,OK,backup-store:ct/102
2026-07-06 13:03:27,pbs,prune,OK,backup-store::ct/102
2026-07-06 13:03:30,pbs,backup,OK,backup-store:ct/103
2026-07-06 13:03:53,pbs,prune,OK,backup-store::ct/103
2026-07-06 13:03:55,pbs,backup,OK,backup-store:ct/104
2026-07-06 13:05:16,pbs,prune,OK,backup-store::ct/104
2026-07-06 13:05:18,pbs,backup,OK,backup-store:vm/105
2026-07-06 13:05:28,pbs,prune,OK,backup-store::vm/105
2026-07-06 13:05:30,pbs,backup,OK,backup-store:ct/106
2026-07-06 13:05:49,pbs,prune,OK,backup-store::ct/106
2026-07-06 13:30:12,pbs,backup,OK,backup-store:ct/107
2026-07-06 13:30:23,pbs,prune,OK,backup-store::ct/107
2026-07-06 13:30:31,pbs,backup,OK,backup-store:ct/108
2026-07-06 13:30:41,pbs,prune,OK,backup-store::ct/108
2026-07-06 22:00:00,pbs,logrotate,OK,
2026-07-06 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-07 02:27:30,pbs,aptupdate,OK,
2026-07-07 13:00:01,pbs,backup,OK,backup-store:vm/100
2026-07-07 13:02:54,pbs,backup,OK,backup-store:ct/101
2026-07-07 13:03:26,pbs,prune,OK,backup-store::ct/101
2026-07-07 13:03:35,pbs,backup,OK,backup-store:ct/102
2026-07-07 13:04:31,pbs,prune,OK,backup-store::ct/102
2026-07-07 13:04:33,pbs,backup,OK,backup-store:ct/103
2026-07-07 13:04:59,pbs,prune,OK,backup-store::ct/103
2026-07-07 13:05:01,pbs,backup,OK,backup-store:ct/104
2026-07-07 13:05:29,pbs,prune,OK,backup-store::vm/100
2026-07-07 13:06:29,pbs,prune,OK,backup-store::ct/104
2026-07-07 13:06:31,pbs,backup,OK,backup-store:vm/105
2026-07-07 13:16:04,pbs,prune,OK,backup-store::vm/105
2026-07-07 13:16:05,pbs,backup,OK,backup-store:ct/106
2026-07-07 13:16:26,pbs,prune,OK,backup-store::ct/106
2026-07-07 13:30:08,pbs,backup,OK,backup-store:ct/107
2026-07-07 13:30:29,pbs,prune,OK,backup-store::ct/107
2026-07-07 13:30:36,pbs,backup,OK,backup-store:ct/108
2026-07-07 13:30:54,pbs,prune,OK,backup-store::ct/108
2026-07-07 22:00:00,pbs,logrotate,OK,
2026-07-07 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-07 23:49:25,pbs,aptupdate,OK,
2026-07-08 13:00:08,pbs,backup,OK,backup-store:vm/100
2026-07-08 13:00:21,pbs,prune,OK,backup-store::vm/100
2026-07-08 13:01:09,pbs,backup,OK,backup-store:ct/101
2026-07-08 13:01:40,pbs,prune,OK,backup-store::ct/101
2026-07-08 13:01:47,pbs,backup,OK,backup-store:ct/102
2026-07-08 13:02:40,pbs,prune,OK,backup-store::ct/102
2026-07-08 13:02:42,pbs,backup,OK,backup-store:ct/103
