time,host,worker_type,status,worker_id
2026-07-17 13:03:34,pbs,prune,OK,backup-store::ct/103
2026-07-17 13:03:36,pbs,backup,OK,backup-store:ct/104
2026-07-17 13:05:06,pbs,prune,OK,backup-store::ct/104
2026-07-17 13:05:09,pbs,backup,OK,backup-store:vm/105
2026-07-17 13:05:34,pbs,prune,OK,backup-store::vm/105
2026-07-17 13:05:35,pbs,backup,OK,backup-store:ct/106
2026-07-17 13:05:56,pbs,prune,OK,backup-store::ct/106
2026-07-17 13:30:09,pbs,backup,OK,backup-store:ct/107
2026-07-17 13:30:22,pbs,prune,OK,backup-store::ct/107
2026-07-17 13:30:29,pbs,backup,OK,backup-store:ct/108
2026-07-17 13:30:39,pbs,prune,OK,backup-store::ct/108
